eventID,eventRemarks,parentEventID,eventDate,locationID,locality,decimalLatitude,decimalLongitude,footprintWKT,geodeticDatum,waterBody,countryCode,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol
UWPHHCZoop_CB975,cruise,,2012-06-11T14:10:00-0700,,,47.531,-123.016,"POLYGON ((-123.117 47.378, -123.125 47.404, -122.807 47.812, -123.117 47.378))",EPSG:4386,"Hood Canal, Puget Sound",US,0.0,145.0,
UWPHHCZoop_CB979,cruise,,2012-07-09T16:40:00-0700,,,47.531,-123.016,"POLYGON ((-123.117 47.378, -123.125 47.404, -122.807 47.812, -123.117 47.378))",EPSG:4386,"Hood Canal, Puget Sound",US,0.0,158.0,
UWPHHCZoop_CB982,cruise,,2012-08-06T15:35:00-0700,,,47.531,-123.016,"POLYGON ((-123.117 47.378, -123.125 47.404, -122.807 47.812, -123.117 47.378))",EPSG:4386,"Hood Canal, Puget Sound",US,0.0,165.0,
UWPHHCZoop_CB986,cruise,,2012-09-02T14:32:00-0700,,,47.531,-123.016,"POLYGON ((-123.117 47.378, -123.125 47.404, -122.807 47.812, -123.117 47.378))",EPSG:4386,"Hood Canal, Puget Sound",US,0.0,165.0,
UWPHHCZoop_CB988,cruise,,2012-10-01T13:35:00-0700,,,47.531,-123.016,"POLYGON ((-123.117 47.378, -123.125 47.404, -122.807 47.812, -123.117 47.378))",EPSG:4386,"Hood Canal, Puget Sound",US,0.0,164.0,
UWPHHCZoop_CB1002,cruise,,2013-06-10T17:13:00-0700,,,47.531,-123.016,"POLYGON ((-123.117 47.378, -123.125 47.404, -122.807 47.812, -123.117 47.378))",EPSG:4386,"Hood Canal, Puget Sound",US,0.0,160.0,
UWPHHCZoop_CB1003,cruise,,2013-07-08T22:32:00-0700,,,47.531,-123.016,"POLYGON ((-123.117 47.378, -123.125 47.404, -122.807 47.812, -123.117 47.378))",EPSG:4386,"Hood Canal, Puget Sound",US,0.0,160.0,
UWPHHCZoop_CB1005,cruise,,2013-08-05T16:09:00-0700,,,47.531,-123.016,"POLYGON ((-123.117 47.378, -123.125 47.404, -122.807 47.812, -123.117 47.378))",EPSG:4386,"Hood Canal, Puget Sound",US,0.0,162.0,
UWPHHCZoop_CB1007,cruise,,2013-09-03T14:38:00-0700,,,47.522,-122.983,"POLYGON ((-123.003 47.371, -123.117 47.378, -123.125 47.404, -122.807 47.812, -123.003 47.371))",EPSG:4386,"Hood Canal, Puget Sound",US,0.0,152.0,
UWPHHCZoop_CB1009,cruise,,2013-10-01T20:57:00-0700,,,47.454,-123.076,"POLYGON ((-123.117 47.378, -123.125 47.404, -122.986 47.581, -123.117 47.378))",EPSG:4386,"Hood Canal, Puget Sound",US,0.0,158.0,
UWPHHCZoop_CB975-20120611UND,stationVisit,UWPHHCZoop_CB975,2012-06-11T14:10:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,72.0,
