occurrenceID,life_history_stage
5a6e5651-1814-4cdf-b4ca-a2b29982030b,Female;_Adult
9e463465-6836-4928-9a09-d1465f81bc9b,Male;_Adult
621edd83-ce74-4c23-8e31-b5afda51b56f,5;_CV
265618fe-4aed-4a6b-b061-6b2ad5e490cc,Medusa
3c0eb533-378c-4738-9c42-f1eb4155e9b4,Veliger
ba1aac54-b99f-43a6-934b-f3035375c359,Cyphonaut
b3b991d9-6de8-49ff-b8f9-114fdc555e6e,Female;_Adult
f20bf8e8-3afb-4159-9d50-4c7cff6fff51,Male;_Adult
33d2e880-b11e-4c77-81f3-9d1cf3d5b08b,1;_CI
ba168451-38de-4531-b756-0b19ff62524b,2;_CII
4cebc683-5e6c-494c-aa4d-f637c5769a41,3;_CIII
e2f53688-5e10-4c2a-b1bc-55cbfc83a549,4;_CIV
fab0bdc2-977f-4870-a951-745fc931114b,5;_CV
3846a5c3-243f-4096-8374-e0807a2f7e00,Female;_Adult
7d628e7d-fe33-4051-9bbc-26629f3f80f2,Male;_Adult
bfc33e2a-a8d9-406a-beed-480e53738939,5;_CV
c4fd4b2d-9779-4e99-9ade-691d9fffcc01,Cyprid_larva
18355bac-fc75-4189-8c58-80ee6830454f,Female;_Adult
e2766d32-65ef-4728-ba6e-e38119b29bf4,Male;_Adult
e9082332-f05e-4f5a-a2d1-2e9a82915ae7,Cal2;_Calyptopis_2
f68d7a81-7386-4b45-aa0d-d0e0a953f96c,Cal3;_Calyptopis_3
a84c8fad-54e0-430a-9ad3-3105122c2413,Metanauplius
1b381d65-b2af-41d2-a990-011719ea4602,Unknown
9a4b70c3-71c1-4522-ad97-e3e6ea5ad4d7,Unknown
39e38430-5b42-481c-baf6-c887462d754f,Unknown
c9c3a742-f013-4a05-886a-5928bba189a6,Female;_Adult
a3472c49-bff0-4062-a05a-3fdcd221061a,Male;_Adult
7cc439a2-e392-458d-a39a-716eeec06b69,1;_CI
108470b1-f5a2-4ab6-bc93-b45c67a293f7,2;_CII
89f77374-cddb-4479-80b1-8afdbf051404,3;_CIII
3767eb78-cabb-462b-be52-a21490cd35fa,4;_CIV
62ab6bd6-96df-48dd-939f-79de9ba09873,5;_CV
dd9d5f45-ade6-421c-b763-69738d3ef424,Medusa
1c6bf618-13df-487d-9a84-7d7c33a2569d,Adult
8ad32138-fd68-463d-85c4-85b95a8f9dbc,Female;_Adult
e64e291e-ac8c-4deb-ae34-bf735054f86a,Adult
ae3f6106-9564-45c5-87b2-fb2e6b1822c0,Unknown
d736af53-e85e-4632-939f-3d36c0fe0200,Female;_Adult
8a10a39f-9eea-4c3a-825b-f8be8261b47a,Male;_Adult
8498dab5-628c-41f0-97df-9c8127dd232c,5;_CV
b27e668d-a66c-4f44-bd1a-e3866a268ebc,Trocophore_larva
facb7dd8-4dff-4284-b5b6-91db56f923aa,Unknown
d2f5ceb2-e813-44d1-b3fe-7f143d804348,Female;_Adult
d3ef864c-5126-4b9e-a654-a6c1fd879701,Male;_Adult
cda3f594-befe-4dc1-80f0-79e0950873b5,4;_CIV
3c19c25a-dd66-4296-b4e7-f8d99a99b3cf,5;_CV
a0614295-6f14-4970-9e6e-c735bda7b18c,Z1;_Zoea_I
9a0e8869-c0de-40df-964a-eed07002c0e0,Z2;_Zoea_II
142b92ba-a6de-42a4-b1c9-ce2d39758693,Unknown
76de026a-e825-4c98-9886-67ed5dca085b,Unknown
5b9c6a42-f6a9-4a9b-9fc2-0591eac2c509,Unknown
eb0d7bcd-57cc-4944-9c25-8dbf60a8e4af,F1;_Furcilia_1
bc21c932-9887-450b-8185-afbc628bc997,F2;_Furcilia_2
5b05f7e0-5c4f-4417-ba48-940eb9b96987,F3;_Furcilia_3
6b165b0f-c1b5-4cf0-b14c-3d0cceee9b01,Z1;_Zoea_I
4eee083b-220f-4e1e-bd59-e444a75b5e71,Z2;_Zoea_II
2d324c5d-89d8-4e77-b9b7-624d9a65d773,Unknown
5e455bfc-22a7-4c1c-84f1-1c02d3fae305,Z4;_Zoea_IV
38dc333a-9ad3-4c31-acf6-bd082c7979e8,Megalopa
116abdb9-07d3-497c-99d7-9ea694825f23,Unknown
4d268d77-4958-4229-9ce1-5e0fc58b16e7,F2;_Furcilia_2
59f5bda8-ff0f-4302-9712-986b715eeb3a,Female;_Adult
cf942585-5b0f-4472-a314-b2f24c4341be,Male;_Adult
a4812ce5-8cb9-44da-80ea-ad0e567cd115,5;_CV
cef15a79-b53a-4883-a886-d0e2c78b9373,Planula_larvae
60aab24f-d0de-45d7-a5bc-a29f6d25392f,Medusa
8a0833af-d1fc-408a-878a-e2abb4b33f6c,Veliger
4ac5115c-1c2c-463e-84d7-1a16135a9ff4,Cyphonaut
bac89414-e4f1-4851-b74a-57d5240bc97c,1;_CI
f35b4acf-7954-4e96-b3cb-ede10065eb01,2;_CII
300f343a-9ede-4a9d-91f0-c6c67b462264,3;_CIII
57c2739d-2528-4f80-9050-b5a772b58bc3,4;_CIV
ddd70b82-38ae-475e-b68b-6aa7642d0054,5;_CV
1ae0ca6f-b321-4159-8e19-642d84e15dbb,Female;_Adult
865d1765-6732-4b08-a25b-67102597242c,Male;_Adult
577ec5a5-46ca-44e4-ac1f-c3b2237641c7,2;_CII
f63e9114-5d50-4c8e-8ad2-ada1d1548b73,3;_CIII
e7c54a00-e3ce-4d38-b3ff-594955cbf55a,4;_CIV
bc04c3df-fe36-4c2f-85f0-e76f4cf1da42,5;_CV
39cca456-6fe5-4f26-b5bc-151fea1bfb31,Nauplii
40a58971-d37e-4db6-9f41-7bbf8b6e221b,Cal2;_Calyptopis_2
4c1f137f-2b20-4693-8628-58a05001236d,Cal3;_Calyptopis_3
1e5582a6-c820-4cb7-8fd9-14f927b68036,Unknown
72eb5e57-7499-465a-9d61-9e535351dfa6,Unknown
59d766e2-bfc5-4500-a599-85aa9f5d782a,1;_CI
551fbe48-024d-4029-ae27-669b6a6cbc75,2;_CII
b839d62e-05e0-4379-ac8a-d86b7f5979b7,Unknown
8b015d43-8787-496d-af02-1c0ba4080aec,Adult
42f19981-80c9-41b4-99b3-2874c6c4561e,Female;_Adult
4c9c48f6-5840-4dcb-a19b-2480282ed32b,Male;_Adult
5a777772-cd76-4451-be01-53c92278576c,Adult
e81720be-335d-46eb-81a0-0e3a37727ebd,Female;_Adult
324a2cfd-e6c9-4c72-812e-d832c54a4604,Male;_Adult
77a2a0df-6b77-4b9d-b08d-02e552921de7,3;_CIII
751f9edc-9523-4ce7-a8e3-ad5cba5ecf76,4;_CIV
77b25cf8-6574-4da4-b0bf-7e5159040746,5;_CV
04051c36-0a4b-4b33-9227-19ded9c973a4,Unknown
d75259b8-e7b4-4dc2-ab98-442928870437,Female;_Adult
9f752c44-acbc-493a-8593-72198fb5c87a,Male;_Adult
b01865eb-df45-4937-a144-9c1ff33b5bfd,4;_CIV
51184270-7364-44be-aebd-dd91e3d507f6,5;_CV
fb8d75e9-75b2-4513-b914-f36467836deb,Z1;_Zoea_I
9ec53406-0bfc-44a3-bc7f-fcf3607986ec,Z2;_Zoea_II
82bba1e0-ebcf-45ac-b190-bd174137370b,Unknown
61f2dc57-1ebe-41fd-ad08-c3b9041d2099,Medusa
4b1cdacd-ae1a-4bdc-8273-f8db98c28fd2,Unknown
c02885f9-f9b3-4c3c-ad98-ff9605ef6a93,F1;_Furcilia_1
200a9043-af05-4708-b8b8-0655c6299627,F2;_Furcilia_2
52931e41-94a3-4f48-ab9d-630a429d8f21,Z3;_Zoea_III
64056672-c18e-45df-af67-e9f455ca5470,Z4;_Zoea_IV
03aa2696-507b-43b0-a0d7-9d2e50ef5a83,Z5;_Zoea_V
0e1856c6-157b-470d-ac1e-772ba4ad65ed,Unknown
8fbbbc03-2480-446e-8b2f-eaf2d8c2aae4,Megalopa
55385b79-27d0-44c4-9414-625374001ee4,Zoea
aa8b7320-6fbe-4cd7-a454-aa8f5a5a3f6c,F1;_Furcilia_1
161abd57-8617-4e6c-8e16-ff53f1316e75,F2;_Furcilia_2
cbffef2c-e285-4161-876f-02c159738f30,Female;_Adult
6c352923-2b51-423c-a44a-02cb60210ed9,Male;_Adult
216e8162-0729-4344-95ca-8a0aecc8e421,5;_CV
2348b050-cc82-44cf-a4c2-a73a31fcae81,Veliger
3d767a9d-9cf5-4ff6-b84b-24ce09edf5ca,Cyphonaut
39526a2f-902a-4429-a5e6-48b682993ab1,1;_CI
2037dc98-3c2c-4ac2-87de-be78fc241bab,2;_CII
6f207121-b7e1-40bc-b88f-ed19077ba937,3;_CIII
a47eb3c6-0ab8-42b5-851a-0faa77960e84,4;_CIV
039bb4de-e3b8-4b0e-9ccf-760fc900f6d4,5;_CV
842850e7-e2db-4505-88ba-00a07bcfc158,Female;_Adult
1dd0f88c-5ae1-41d8-b611-c307b0888908,Male;_Adult
a5d7ea80-aa0d-4b3e-907e-3846fbfb4796,3;_CIII
a0f283b3-a4be-4840-ae95-b2649fecdc65,4;_CIV
39dd7ed7-c0af-4061-b309-69839265c704,5;_CV
5ca95262-8065-4437-abcd-519ee58b382d,Cyprid_larva
a1a42d70-7003-465f-9af5-c9a4c5947fe8,Nauplii
c9016cba-b941-489b-a783-5b8ea60380c0,Medusa
26dae909-002d-49fd-b7d8-b520326a7ed7,Female;_Adult
59d32c53-00cf-48a1-a869-ac84f50acb03,Male;_Adult
8a4aaf29-19e3-4d5c-a160-579f2eda3150,Unknown
d6191566-e693-4f42-80c0-124c9fe0ff07,Female;_Adult
e4cc41f3-aadf-4839-a357-fba45ca574f6,Unknown
b697ac5c-1728-49f7-b996-77ee1c60d705,Unknown
cc109a45-a401-463a-95fb-aa743d02abc4,Female;_Adult
91ff2f5a-4ae5-4afa-b559-a56aa71b250e,Male;_Adult
98cf7424-7a0b-4532-897a-9e38adc7801a,2;_CII
3795eaab-0eb3-47f4-86d7-745a6827025b,4;_CIV
2050d6ef-e77b-4951-915b-fa6e71d477f1,5;_CV
7f47efec-dc4b-43a3-a3f4-4d9d6a931bf3,Copepodite
fb84fbf7-2db2-48d8-9b8c-ce4e017ed5da,Male;_Adult
14ae59b8-2c13-45bc-a2e3-48c93b9020bb,Adult
42137109-f0c9-4b28-9b11-b4e8167810c4,Female;_Adult
b20bfe4d-8000-44dc-9a1f-af26df444c54,Male;_Adult
f1f4dc5c-4a07-4592-91fd-7ec4f2dbb256,3;_CIII
195b70f0-fae5-4c58-9f1f-b2508dd68438,4;_CIV
9730721d-251a-44a7-94db-60d2dd6ddfaf,5;_CV
dcd60eee-3bd7-41f1-935b-b3b476c9fa1a,Unknown
8d411825-9406-4e9d-a92a-9e699b6cd63a,Trocophore_larva
201ea9cd-4534-4962-b27e-f7238359bf96,Female;_Adult
b0346ada-5dd8-4b2a-a44e-365b9744e87f,3;_CIII
f74244d5-7368-4852-b856-d7a291fae649,4;_CIV
8fbc04f0-7511-4c82-8150-a341fb1ba6c4,5;_CV
c9685834-6c61-41ef-9d21-08cfba3f59b9,Medusa
3ffb95d1-ffba-435b-b875-3e7c1ddf17ad,Z1;_Zoea_I
60c19c51-4b82-446a-a3c1-8904976d7e10,Z2;_Zoea_II
95b47b16-0fb1-4572-84f2-d71eecfc0128,Unknown
b142cc33-e4a1-41f5-b5c9-a91572ba3a33,F2;_Furcilia_2
8154a5cb-cff0-4813-8460-13d25ad11431,Unknown
cf121064-fbbc-4434-88d0-a49e03960906,Megalopa
1abe8809-ab78-4e70-b7f9-69ac9d360227,Zoea
7364a1ab-1a97-4c38-bf5e-3ccd424de60f,Larva
d0306c3a-5cf2-4c1f-b92f-3d2f3e430e8e,Female;_Adult
ab7294cc-7498-4d89-b185-c0c28a7ab249,Male;_Adult
41728273-7cbd-4551-8042-daea9e885c37,5;_CV
a4f23df8-41f8-44eb-aef4-1094027f6468,Medusa
906f7f7a-77ff-4483-9004-363aec11734e,Larva
53d26a56-f99b-4855-b182-6b59f11e3756,Cyphonaut
fa6e6f87-af31-4855-808c-8c09e7b6725a,Female;_Adult
294df48e-580b-4fd2-a52a-32de2d72ac02,Male;_Adult
1a5c3b5f-562c-409e-939b-454290f5cf98,1;_CI
0c93f69e-07b6-4e5c-afe8-b81a08de3f97,2;_CII
6e16ea13-394d-4f6b-aaa1-367b7c00a0f8,3;_CIII
cd8ff1b3-2ac7-4aa9-9cd7-b2715f12fa1f,4;_CIV
89a8d1de-203d-4587-b394-bd0c655e8851,5;_CV
116ab066-ae40-45a2-a792-03b22edfcbd8,Female;_Adult
4169dcc6-3245-4d21-a4ab-c863a9fe3a62,Male;_Adult
8dc46383-ea76-42f2-aa10-e24f19ada19d,1;_CI
ed772afa-c8db-4115-b5e9-1f46c2897d32,3;_CIII
c8f23db6-a50a-44bc-ad9d-58fb2010668b,4;_CIV
57e4c476-10ec-44f2-ab4f-26bb7e9680f8,5;_CV
d0e7cfc4-8900-4f29-a991-b671a9a74871,Cyprid_larva
c33568f7-28e5-40eb-9984-0fe8f29c56dc,Female;_Adult
b6a4ffd9-43b4-47e4-abfd-96cf8b1d0769,Male;_Adult
c63c7d85-fd99-4b9e-8809-89554c36ff5a,Cal2;_Calyptopis_2
603aa37b-59ab-4564-9a3f-4f89862ade08,Cal3;_Calyptopis_3
2e9573ad-a552-46c7-a1c3-db8530782494,Metanauplius
5043016e-8498-406f-84f9-1c5e523e07ce,Unknown
31274792-6d4e-4266-a42d-33db6e66c758,Unknown
6a270863-070a-4fe7-8cb9-00798dd71036,Unknown
13e18591-8b21-4de4-95e2-1c667eb42e18,Female;_Adult
7a7ad93c-0740-4bd7-9097-0d48f13b8586,Male;_Adult
f8d77147-31bf-40c0-9ae3-83c5271f1855,1;_CI
13c9be70-f55f-463e-b046-db28a84c11e3,2;_CII
bb3a98a7-d09b-405d-b124-d50ae2933116,3;_CIII
fae39fd5-7b43-4626-a4db-ef4642d1be38,4;_CIV
36ad09b9-332a-48eb-9297-c02fefc498b8,5;_CV
ddf53727-0a7f-4539-b294-c3e3b080dc26,Unknown
07dd237d-2543-48be-8141-7e0a9e879964,Copepodite
4526ab51-62f3-4c5a-b8d0-7bb35c0f8df2,Female;_Adult
d60dc0a3-1ef3-4349-b4f8-e7857ed0dfb7,Male;_Adult
49be80fc-7ab0-4a97-90e1-ed985dd5c7b8,Copepodite
d8ffa1f9-f979-416b-a0b1-9e54fbe7b694,Unknown
499247fc-ec88-45c1-b62d-16830d6ab4dc,Female;_Adult
35f72c41-7561-4d30-afe9-7b51bd909832,Male;_Adult
ef145691-2f5e-421c-acdc-5e301cb1af10,4;_CIV
c3f09ab7-751c-4d5a-9eb3-6247ce79749a,5;_CV
7e91b8fb-ed39-4fa4-9908-012a5efeeeac,Unknown
9f3d57d7-b0b9-4e2d-a695-225508b7a67e,Trocophore_larva
e9fb2f7f-4d93-49cc-8468-80531423796f,Female;_Adult
4f6e2b35-0aed-46ee-9b4f-75775ec3b074,Male;_Adult
2e0f9ede-51a4-4f80-a9f2-6642cd157aac,4;_CIV
9c88ed20-add3-449e-bc33-dcfbae8d297b,5;_CV
998656c0-6a7c-40d4-9004-f953b200ba4f,Unknown
d8d4bfbe-2c4a-4edc-afde-303b6a47b9f1,Female;_Adult
bda54607-b194-4cdf-99b8-2cf3e01b981d,Medusa
13c41314-22a6-4191-a71a-489a65b87a2b,Veliger
2d922bf2-03cd-4e64-979d-eea8692d5db7,Female;_Adult
8597d61a-a9e7-422a-b3f3-fd304e26e736,Male;_Adult
e3081ea0-9202-44a5-bd5e-4b5099c2d817,1;_CI
4c73eb66-2f27-4406-96b9-dcaf83dc0173,2;_CII
51d8c61b-2749-474b-b854-7545f892c2b3,3;_CIII
