station,latitude,longitude,day_night,species,date,time_start,life_history_stage,sample_code,mesh_size,depth_max,depth_min,FWC_DS,density,time
unitless,degrees_north,degrees_east,unitless,unitless,unitless,unitless,unitless,unitless,microns,meters,meters,unitless,count per meter cubed,UTC
DB,47.378,-123.117,Day,ACARTIA,20131003,14:11,3;_CIII,20131003DBDm2_200,200,56.0,30.0,DS,6.395348837,2013-10-03T14:11:00Z
DB,47.378,-123.117,Day,ACARTIA,20130906,16:17,5;_CV,20130906DBiDm1_200,200,60.0,0.0,FWC,38.75968992,2013-09-06T16:17:00Z
DB,47.378,-123.117,Day,ACARTIA,20131003,,Female;_Adult,20131003DBDm1_200,200,56.0,0.0,FWC,0.384615385,
DB,47.378,-123.117,Day,ACARTIA,20131003,,Male;_Adult,20131003DBDm1_200,200,56.0,0.0,FWC,1.538461538,
DB,47.378,-123.117,Day,ACARTIA_CLAUSI,20120614,17:25,Female;_Adult,20120614DBDm3_200,200,20.0,9.0,DS,21.05263158,2012-06-14T17:25:00Z
DB,47.378,-123.117,Day,ACARTIA_CLAUSI,20120614,17:25,Male;_Adult,20120614DBDm3_200,200,20.0,9.0,DS,21.05263158,2012-06-14T17:25:00Z
DB,47.378,-123.117,Day,ACARTIA_CLAUSI,20120614,17:25,Female;_Adult,20120614DBDm4_200,200,9.0,0.0,DS,70.83333333,2012-06-14T17:25:00Z
DB,47.378,-123.117,Day,ACARTIA_CLAUSI,20120712,16:23,5;_CV,20120712DBDm1_200,200,70.0,45.0,DS,5.128205128,2012-07-12T16:23:00Z
DB,47.378,-123.117,Day,ACARTIA_CLAUSI,20121004,15:00,Female;_Adult,20121004DBDm4_200,200,30.0,15.0,DS,5.217391304,2012-10-04T15:00:00Z
DB,47.378,-123.117,Day,ACARTIA_CLAUSI,20130808,15:54,5;_CV,20130808DBDm4_200,200,10.0,0.0,DS,280.8510638,2013-08-08T15:54:00Z
DB,47.378,-123.117,Day,ACARTIA_CLAUSI,20130906,14:52,Female;_Adult,20130906DBDm4_200,200,10.0,0.0,DS,26.66666667,2013-09-06T14:52:00Z
DB,47.378,-123.117,Day,ACARTIA_CLAUSI,20130906,14:52,Male;_Adult,20130906DBDm4_200,200,10.0,0.0,DS,26.66666667,2013-09-06T14:52:00Z
DB,47.378,-123.117,Day,ACARTIA_CLAUSI,20131003,14:11,2;_CII,20131003DBDm5_200,200,12.0,0.0,DS,83.33333333,2013-10-03T14:11:00Z
DB,47.378,-123.117,Day,ACARTIA_CLAUSI,20131003,14:11,Female;_Adult,20131003DBDm5_200,200,12.0,0.0,DS,41.66666667,2013-10-03T14:11:00Z
DB,47.378,-123.117,Day,ACARTIA_CLAUSI,20131003,14:11,Male;_Adult,20131003DBDm5_200,200,12.0,0.0,DS,41.66666667,2013-10-03T14:11:00Z
DB,47.378,-123.117,Day,AEQUOREA,20130613,16:30,Medusa,20130613DBDm3_335,335,20.0,10.0,DS,0.03125,2013-06-13T16:30:00Z
DB,47.378,-123.117,Day,AEQUOREA,20130613,16:30,Medusa,20130613DBDm4_335,335,10.0,0.0,DS,0.038961039,2013-06-13T16:30:00Z
DB,47.378,-123.117,Day,AETIDEUS,20120614,17:25,Female;_Adult,20120614DBDm1_200,200,65.0,40.0,DS,5.0,2012-06-14T17:25:00Z
DB,47.378,-123.117,Day,AETIDEUS,20120614,17:25,Male;_Adult,20120614DBDm1_200,200,65.0,40.0,DS,5.0,2012-06-14T17:25:00Z
DB,47.378,-123.117,Day,AETIDEUS,20120712,16:23,Female;_Adult,20120712DBDm1_200,200,70.0,45.0,DS,15.38461538,2012-07-12T16:23:00Z
DB,47.378,-123.117,Day,AETIDEUS,20120712,16:23,Male;_Adult,20120712DBDm1_200,200,70.0,45.0,DS,10.25641026,2012-07-12T16:23:00Z
DB,47.378,-123.117,Day,AETIDEUS,20120712,16:23,Male;_Adult,20120712DBDm2_200,200,45.0,30.0,DS,7.291666667,2012-07-12T16:23:00Z
DB,47.378,-123.117,Day,AETIDEUS,20120905,15:12,5;_CV,20120905DBDm1_200,200,70.0,50.0,DS,3.888888889,2012-09-05T15:12:00Z
DB,47.378,-123.117,Day,AETIDEUS,20120905,15:12,Female;_Adult,20120905DBDm1_200,200,70.0,50.0,DS,7.777777778,2012-09-05T15:12:00Z
DB,47.378,-123.117,Day,AETIDEUS,20120905,15:12,Male;_Adult,20120905DBDm1_200,200,70.0,50.0,DS,11.66666667,2012-09-05T15:12:00Z
DB,47.378,-123.117,Day,AETIDEUS,20120905,15:12,4;_CIV,20120905DBDm2_200,200,50.0,25.0,DS,3.181818182,2012-09-05T15:12:00Z
DB,47.378,-123.117,Day,AETIDEUS,20120905,15:12,5;_CV,20120905DBDm2_200,200,50.0,25.0,DS,6.363636364,2012-09-05T15:12:00Z
DB,47.378,-123.117,Day,AETIDEUS,20121004,15:00,Female;_Adult,20121004DBDm2_200,200,95.0,70.0,DS,5.333333333,2012-10-04T15:00:00Z
DB,47.378,-123.117,Day,AETIDEUS,20130906,16:17,3;_CIII,20130906DBiDm1_200,200,60.0,0.0,FWC,3.875968992,2013-09-06T16:17:00Z
DB,47.378,-123.117,Day,AETIDEUS,20130906,16:17,5;_CV,20130906DBiDm1_200,200,60.0,0.0,FWC,3.875968992,2013-09-06T16:17:00Z
DB,47.378,-123.117,Day,AETIDEUS_divergens,20130906,14:52,4;_CIV,20130906DBDm1_200,200,71.0,40.0,DS,3.977272727,2013-09-06T14:52:00Z
